Name;Platform;Year;Genre;Publisher;NA_Sales;EU_Sales;JP_Sales;Other_Sales
The Bard's Tale;XB;2004.00;Role-Playing;Ubisoft;0.08;0.02;0;0
Polarium;DS;2004.00;Puzzle;Nintendo;0.13;0.01;0.11;0.01
N+;DS;2007.00;Platform;Atari;0.06;0;0;0
SingStar Singalong With Disney;PS2;2008.00;Misc;Sony Computer Entertainment;0;0.04;0;0.57
Teenage Mutant Ninja Turtles 2: Battle Nexus;GBA;2004.00;Action;Konami Digital Entertainment;0.23;0.09;0;0.01
Avatar: The Last Airbender - The Burning Earth;PS2;2007.00;Action;THQ;0.21;0.16;0;0.05
Crayola: Treasure Adventures;DS;2007.00;Puzzle;Ignition Entertainment;0.43;0.01;0;0.03
Goldeneye 007: Reloaded;PS3;2011.00;Shooter;Activision;0.33;0.35;0;0.13
McDROID;Wii;2011.00;Strategy;Namco Bandai Games;0;0;0.12;0
Major Minor's Majestic March;Wii;2009.00;Misc;Majesco Entertainment;0.05;0;0;0
Battlefield: Hardline;XOne;2015.00;Shooter;Electronic Arts;0.72;0.37;0.01;0.11
Yu-Gi-Oh! The Duelists of the Roses;PS2;2001.00;Misc;Konami Digital Entertainment;1.16;0.91;0;0.3
Jikkyou Powerful Pro Yakyuu '97 Kaimakuban;PS;1997.00;Sports;Konami Digital Entertainment;0;0;0.56;0.04
Watch Dogs;PC;2014.00;Action;Ubisoft;0.14;0.26;0;0.05
IHRA Drag Racing 2;PS2;2002.00;Racing;Bethesda Softworks;0.64;0.5;0;0.17
Omerta: City of Gangsters;X360;2011.00;Simulation;Konami Digital Entertainment;0.42;0.23;0;0.06
Epidemic;PS;1995.00;Shooter;Sony Computer Entertainment;0.02;0.01;0.1;0.01
Dynasty Warriors 5;PS2;2005.00;Action;Tecmo Koei;0.24;0.18;0.91;0.06
FIFA Soccer 07;PS2;2006.00;Sports;Electronic Arts;0.71;2.48;0.03;0.89
Supreme Commander;X360;2008.00;Strategy;505 Games;0.07;0.01;0;0.01
You Don't Know Jack;DS;2011.00;Misc;THQ;0.07;0;0;0.01
EverQuest Online Adventures;PS2;2003.00;Role-Playing;Sony Online Entertainment;0.21;0.16;0;0.05
Persona 5;PS3;2016.00;Role-Playing;Unknown;0;0;0.1;0
Heavy Fire: The Chosen Few 3D;3DS;2011.00;Shooter;Mastiff;0.02;0;0;0
Need for Speed: Most Wanted;PS3;2012.00;Racing;Electronic Arts;0.71;1.51;0.06;0.61
MindJack;PS3;2011.00;Shooter;Square Enix;0.07;0.08;0;0.03
Kiniro no Corda 3;PSP;2010.00;Adventure;Tecmo Koei;0;0;0.09;0
Kenka Banchou 4: Ichinen Sensou;PSP;2010.00;Action;Spike;0;0;0.19;0
Hissatsu Pachinko Collection 3;SNES;1995.00;Misc;Sunsoft;0;0;0.03;0
WipEout;PS;1995.00;Action;Psygnosis;0.26;0.18;0;0.03
